round,metric,weight,coverage,separation,consistency,consensus,uniqueness,committee_support
29,ACC,0.0715557013,1.0,0.0,0.25,0.5,1.0,0.041628
29,AUPRC,0.1267530649,1.0,0.272166,0.333333,0.320395,0.392375,0.408714
29,BalancedAccuracy,0.1424547299,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
29,ECE,0.1366990408,1.0,0.272166,0.333333,0.993915,0.43503,0.523258
29,NPV,0.1747438145,1.0,0.720082,0.833333,0.941249,0.320946,0.710669
29,Precision,0.1759687782,1.0,0.720082,0.833333,0.483029,0.565235,0.696435
29,Recall,0.1718248702,1.0,0.720082,0.833333,0.822451,0.304824,0.684655
30,ACC,0.0774249241,1.0,0.471405,0.5,0.99099,0.195002,0.539131
30,AUPRC,0.125998604,1.0,0.471405,0.5,0.99099,0.195002,0.539131
30,BalancedAccuracy,0.1426328114,1.0,0.720082,0.833333,1.0,0.184858,0.644181
30,ECE,0.1347510628,1.0,0.471405,0.5,0.99099,0.195002,0.539131
30,NPV,0.1732103191,1.0,0.816497,1.0,0.972456,0.252017,0.724854
30,Precision,0.1745428262,1.0,0.720082,0.833333,0.75,0.474509,0.734347
30,Recall,0.1714394524,1.0,0.720082,0.833333,0.75,0.543682,0.754608
31,ACC,0.0861534749,1.0,0.471405,0.5,0.933013,0.307114,0.583325
31,AUPRC,0.1240999703,1.0,0.272166,0.333333,0.25,0.633193,0.427994
31,BalancedAccuracy,0.1435364157,1.0,0.471405,0.5,0.933013,0.307114,0.583325
31,ECE,0.1386974256,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
31,NPV,0.1725415711,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
31,Precision,0.1636592839,1.0,0.720082,0.833333,0.027544,0.221786,0.325712
31,Recall,0.1713118586,1.0,0.816497,1.0,1.0,0.155536,0.661846
32,ACC,0.0938345996,1.0,0.471405,0.5,0.933013,0.307114,0.583325
32,AUPRC,0.1224291725,1.0,0.272166,0.333333,0.25,0.633193,0.427994
32,BalancedAccuracy,0.1443315875,1.0,0.471405,0.5,0.933013,0.307114,0.583325
32,ECE,0.1421702248,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
32,NPV,0.1719530728,1.0,0.720082,0.833333,0.972456,0.20069,0.651207
32,Precision,0.1540817667,1.0,0.720082,0.833333,0.027544,0.221786,0.325712
32,Recall,0.1711995761,1.0,0.816497,1.0,1.0,0.155536,0.661846
33,ACC,0.0972712986,1.0,0.471405,0.5,0.988111,0.162777,0.5197
33,AUPRC,0.1212549004,1.0,0.272166,0.333333,0.97691,0.281524,0.477987
33,BalancedAccuracy,0.141708648,1.0,0.471405,0.5,0.988111,0.162777,0.5197
33,ECE,0.143591604,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
33,NPV,0.1698005102,1.0,0.720082,0.833333,0.999799,0.198724,0.653541
33,Precision,0.1557088526,1.0,0.720082,0.833333,0.442646,0.685787,0.71136
33,Recall,0.1706641863,1.0,0.816497,1.0,0.868522,0.250027,0.707529
34,ACC,0.1015852809,1.0,0.471405,0.5,0.75,0.220335,0.522518
34,AUPRC,0.1255863794,1.0,0.720082,0.833333,0.827327,0.180345,0.617158
34,BalancedAccuracy,0.1422781305,1.0,0.272166,0.333333,0.933013,0.738842,0.574421
34,ECE,0.1398413422,1.0,0.272166,0.333333,0.933013,0.196201,0.440616
34,NPV,0.1660025145,1.0,0.720082,0.833333,0.336337,0.231435,0.541852
34,Precision,0.157943803,1.0,0.816497,1.0,0.933013,0.196201,0.683768
