round,model,score,rank
22,ascan2,0.2805522964,16
22,ampir,0.2165562478,17
22,iamp-ca2l,0.0104507371,18
23,AMPsorter,0.821585883,1
23,amplify_imb,0.8064656829,2
23,pepnet_standard,0.7222653974,3
23,esm-AxP-GDL,0.7101959027,4
23,HMD-AMP,0.6847348686,5
23,C_AMPs-predict,0.6671841732,6
23,pepnet_fast,0.6473057408,7
23,amplify_bal,0.5741778254,8
23,iampcn,0.4992871748,9
23,macrel,0.4925521071,10
23,lstm,0.460538127,11
23,ai4amp,0.407444317,12
23,amPEPpy,0.407244527,13
23,apin,0.3331147155,14
23,apex1.1,0.2833598334,15
23,ascan2,0.2742751447,16
23,ampir,0.1980718829,17
23,iamp-ca2l,0.0101966968,18
24,HMD-AMP,0.8116778826,1
24,pepnet_standard,0.7756553052,2
24,ascan2,0.7007991849,3
24,macrel,0.6725640279,4
24,amplify_bal,0.6108283635,5
24,C_AMPs-predict,0.6023172013,6
24,amplify_imb,0.5715433739,7
24,apin,0.5581500281,8
24,ai4amp,0.5261532236,9
24,AMPsorter,0.5185126275,10
24,pepnet_fast,0.4999723564,11
24,lstm,0.4613870438,12
24,ampir,0.4016408825,13
24,esm-AxP-GDL,0.3714910518,14
24,iampcn,0.3631098302,15
24,amPEPpy,0.3112489727,16
24,apex1.1,0.1930891768,17
24,iamp-ca2l,0.0498594672,18
25,pepnet_standard,0.7414889141,1
25,HMD-AMP,0.6825902148,2
25,C_AMPs-predict,0.6785366528,3
25,amplify_imb,0.6771682206,4
25,amplify_bal,0.6409786601,5
25,AMPsorter,0.6339095636,6
25,pepnet_fast,0.6058323894,7
25,macrel,0.581739856,8
25,esm-AxP-GDL,0.5260691212,9
25,ascan2,0.4907347388,10
25,ai4amp,0.4644991853,11
25,lstm,0.4473215741,12
25,apin,0.4300045914,13
25,amPEPpy,0.394151518,14
25,iampcn,0.3926953628,15
25,ampir,0.3091267673,16
25,apex1.1,0.2729817669,17
25,iamp-ca2l,0.0301709029,18
26,pepnet_standard,0.7413656583,1
26,HMD-AMP,0.6825209937,2
26,C_AMPs-predict,0.678311072,3
26,amplify_imb,0.6772304715,4
26,amplify_bal,0.6409540835,5
26,AMPsorter,0.6337117792,6
26,pepnet_fast,0.6058156773,7
26,macrel,0.5815795632,8
26,esm-AxP-GDL,0.5261627173,9
26,ascan2,0.490826454,10
26,ai4amp,0.4643444464,11
26,lstm,0.4475205774,12
26,apin,0.4299999473,13
26,amPEPpy,0.3941724856,14
26,iampcn,0.3930469187,15
26,ampir,0.3092064809,16
26,apex1.1,0.2730375781,17
26,iamp-ca2l,0.0301930955,18
27,amplify_imb,0.7829089558,1
27,C_AMPs-predict,0.7547922247,2
27,AMPsorter,0.749246251,3
27,pepnet_fast,0.7116488458,4
27,pepnet_standard,0.7074512729,5
27,esm-AxP-GDL,0.6809496872,6
27,amplify_bal,0.6712138514,7
27,HMD-AMP,0.5538197006,8
27,macrel,0.4907672778,9
27,amPEPpy,0.4769026577,10
27,lstm,0.4333308581,11
27,iampcn,0.4225034915,12
27,ai4amp,0.4029112544,13
27,apex1.1,0.3516885323,14
27,apin,0.3020661317,15
27,ascan2,0.2806702297,16
27,ampir,0.2166614977,17
27,iamp-ca2l,0.0104672797,18
28,pepnet_standard,0.7414274952,1
28,HMD-AMP,0.6825808629,2
28,C_AMPs-predict,0.6781345441,3
28,amplify_imb,0.6775004466,4
28,amplify_bal,0.6410753195,5
28,AMPsorter,0.6335573814,6
28,pepnet_fast,0.6058836321,7
28,macrel,0.5814305638,8
28,esm-AxP-GDL,0.5263686234,9
28,ascan2,0.4909123695,10
28,ai4amp,0.4640807833,11
28,lstm,0.4476800999,12
28,apin,0.4300008055,13
28,amPEPpy,0.3941229955,14
28,iampcn,0.39352909,15
28,ampir,0.3092224986,16
28,apex1.1,0.27231795,17
28,iamp-ca2l,0.0301745387,18
29,pepnet_standard,0.7413116097,1
29,HMD-AMP,0.6825127641,2
29,C_AMPs-predict,0.6779572164,3
29,amplify_imb,0.6775228304,4
29,amplify_bal,0.6410391438,5
29,AMPsorter,0.6334018589,6
29,pepnet_fast,0.6058607709,7
29,macrel,0.581307386,8
29,esm-AxP-GDL,0.5264262792,9
29,ascan2,0.4909827691,10
29,ai4amp,0.4639762527,11
29,lstm,0.4478360801,12
29,apin,0.4299966157,13
29,amPEPpy,0.3941473859,14
29,iampcn,0.3937805986,15
29,ampir,0.3092907244,16
29,apex1.1,0.2724534192,17
29,iamp-ca2l,0.030196295,18
30,pepnet_standard,0.760784188,1
30,amplify_bal,0.7082905021,2
30,ascan2,0.707311257,3
30,C_AMPs-predict,0.6891133122,4
30,HMD-AMP,0.6802840154,5
30,macrel,0.6703710972,6
30,pepnet_fast,0.5647584198,7
30,amplify_imb,0.548969953,8
30,apin,0.5265035098,9
30,ai4amp,0.5204354087,10
30,AMPsorter,0.4457367564,11
30,lstm,0.434665964,12
30,ampir,0.4201169479,13
30,amPEPpy,0.3812078275,14
30,esm-AxP-GDL,0.3425489553,15
30,iampcn,0.2881150098,16
30,apex1.1,0.2606715524,17
30,iamp-ca2l,0.0501153236,18
31,HMD-AMP,0.8134674558,1
31,pepnet_standard,0.7559271032,2
31,AMPsorter,0.7055645303,3
31,amplify_imb,0.7008715739,4
31,C_AMPs-predict,0.5901753482,5
31,macrel,0.5829276389,6
31,esm-AxP-GDL,0.5557347803,7
31,amplify_bal,0.5438262762,8
31,pepnet_fast,0.5413701608,9
31,ascan2,0.4847068873,10
31,lstm,0.4751163865,11
31,iampcn,0.4701073273,12
31,ai4amp,0.4687943598,13
31,apin,0.4612067276,14
31,amPEPpy,0.3247627597,15
31,ampir,0.2908553682,16
31,apex1.1,0.2046352857,17
31,iamp-ca2l,0.0299500301,18
32,HMD-AMP,0.8135094747,1
32,pepnet_standard,0.7559550703,2
32,AMPsorter,0.7056859641,3
32,amplify_imb,0.7005126961,4
32,C_AMPs-predict,0.5905241304,5
32,macrel,0.5833075765,6
32,esm-AxP-GDL,0.5555432566,7
32,amplify_bal,0.54377409,8
32,pepnet_fast,0.5412846857,9
32,ascan2,0.4845014363,10
32,lstm,0.4747801435,11
32,ai4amp,0.4693390548,12
32,iampcn,0.4691393825,13
32,apin,0.4612488983,14
32,amPEPpy,0.3248729752,15
32,ampir,0.2907724905,16
32,apex1.1,0.2052871814,17
32,iamp-ca2l,0.0299614929,18
33,HMD-AMP,0.811433505,1
33,pepnet_standard,0.7751852584,2
33,ascan2,0.7004545402,3
33,macrel,0.6723149347,4
33,amplify_bal,0.6104960322,5
33,C_AMPs-predict,0.6024394813,6
33,amplify_imb,0.5711758782,7
33,apin,0.558029762,8
33,ai4amp,0.5265736972,9
33,AMPsorter,0.5185210646,10
33,pepnet_fast,0.4998494054,11
33,lstm,0.4614231994,12
33,ampir,0.4016004327,13
33,esm-AxP-GDL,0.3714752161,14
33,iampcn,0.3630030048,15
33,amPEPpy,0.3115563113,16
33,apex1.1,0.1945029965,17
33,iamp-ca2l,0.0499652802,18
34,amplify_imb,0.7824505675,1
34,C_AMPs-predict,0.7550516484,2
34,AMPsorter,0.7497209976,3
34,pepnet_fast,0.7116988565,4
34,pepnet_standard,0.7075283588,5
34,esm-AxP-GDL,0.6802587757,6
34,amplify_bal,0.6710895598,7
34,HMD-AMP,0.5536264829,8
34,macrel,0.4913223447,9
34,amPEPpy,0.4769938227,10
34,lstm,0.4328913581,11
34,iampcn,0.4212530616,12
34,ai4amp,0.4032345739,13
34,apex1.1,0.3533381808,14
34,apin,0.3019436059,15
34,ascan2,0.2806341335,16
34,ampir,0.2165126988,17
34,iamp-ca2l,0.010450973,18
35,HMD-AMP,0.8115839708,1
35,pepnet_standard,0.7753552551,2
35,ascan2,0.7005449084,3
35,macrel,0.6724328546,4
35,amplify_bal,0.6105617998,5
35,C_AMPs-predict,0.6024562872,6
35,amplify_imb,0.571197472,7
35,apin,0.5581228476,8
35,ai4amp,0.5265847831,9
35,AMPsorter,0.5185813965,10
35,pepnet_fast,0.4998788733,11
35,lstm,0.4613728625,12
35,ampir,0.4016028368,13
35,esm-AxP-GDL,0.371468214,14
35,iampcn,0.3628618615,15
35,amPEPpy,0.3114440861,16
35,apex1.1,0.1940256288,17
35,iamp-ca2l,0.0499240619,18
36,ascan2,0.9168956589,1
36,HMD-AMP,0.8097377371,2
36,pepnet_standard,0.7948373819,3
36,macrel,0.7613617333,4
36,amplify_bal,0.6773096616,5
36,apin,0.6551322532,6
36,C_AMPs-predict,0.6142332127,7
36,ai4amp,0.5836931246,8
36,ampir,0.5126042276,9
36,pepnet_fast,0.4584456728,10
36,lstm,0.4480870792,11
36,amplify_imb,0.4419088558,12
36,AMPsorter,0.331457925,13
36,amPEPpy,0.2979336054,14
36,iampcn,0.2568615813,15
36,esm-AxP-GDL,0.1874563149,16
