rank,combo,median_score,mean_score,score_iqr,median_rank,mean_rank,top3_frequency,mean_AUPRC,mean_MCC,mean_Precision,mean_Recall,worst_dataset_AUPRC,worst_dataset_MCC
241,amplify_bal + amplify_imb + macrel,0.6069541819546569,0.6003055359859067,0.05608556517310048,241.0,269.04,0.0,0.9319396322346192,0.7280890658784324,0.7344128200237554,0.8828828382341877,0.8808172798541043,0.6290103687026456
242,ai4amp + amPEPpy + HMD-AMP,0.6067063275,0.6114383006974673,0.07708189740910942,242.0,255.6,0.0,0.9079804707805864,0.709615701054954,0.7097416441855491,0.8784576017364341,0.8088750702419081,0.4719480627934715
243,amplify_bal + amplify_imb + AMPsorter,0.6061862062152777,0.6189306379060049,0.10752395398233239,243.0,251.76,0.0,0.9161526981378284,0.7308596599375098,0.7269321378437473,0.899236146144008,0.8254015547394604,0.621459427618942
244,apin + HMD-AMP + pepnet_standard,0.6058881632577614,0.6108778917765114,0.13132383609681364,244.0,261.64,0.0,0.9129467147881695,0.6791982665561123,0.6775275977658218,0.8813386076193638,0.8245800433850978,0.383914218976102
245,amPEPpy + AMPsorter + lstm,0.6051852564940767,0.6213230278520833,0.1373265887745101,245.0,248.84,0.0,0.9232436132528589,0.7345148126302267,0.7248042916369766,0.9130450813957122,0.8489875192065656,0.6047197700784818
246,AMPsorter + C_AMPs-predict + macrel,0.6046464288388481,0.5970890025235294,0.07337288302236522,246.0,274.5,0.0,0.9521168936824922,0.8102575334320056,0.9448310020773328,0.7933933594291894,0.9091178645480841,0.6992044580074732
247,amplify_bal + apin + macrel,0.6042960373835784,0.5935017639044118,0.09903233399611922,247.0,282.74,0.0,0.9192370585248012,0.7305674055973652,0.7457711366585899,0.861884381376934,0.8642005342491006,0.5617166090988911
248,AMPsorter + ascan2 + HMD-AMP,0.6040018049887663,0.6134489851835375,0.15323093708026958,248.0,260.62,0.0,0.8802653260063805,0.6770295276316954,0.6729577110858499,0.8818232356711754,0.7138133418341844,0.3655473363414283
249,AMPsorter + iampcn + pepnet_standard,0.6039912390042892,0.6316551504406046,0.1946470696619691,248.0,241.96,0.0,0.9320333418877986,0.7289250784911756,0.7076695749528646,0.9293287873708579,0.8402652337231106,0.5864838072223417
250,AMPsorter + lstm + macrel,0.6039532810294117,0.6214586758194036,0.10241839283956278,249.0,247.46,0.0,0.9208382033523449,0.7257448259012916,0.7295667528723652,0.8845771788153359,0.8352188905659307,0.5373607060450724
251,ampir + macrel + pepnet_standard,0.6038097329084968,0.5974360641782271,0.09398065087009799,250.0,279.0,0.0,0.915181172148443,0.7424569342006477,0.756505025242082,0.8626193504516783,0.8446564042487941,0.5800471297153154
252,ai4amp + C_AMPs-predict + pepnet_fast,0.6033053539777369,0.5888101371001226,0.0924112114312704,252.0,288.04,0.0,0.9292605928574772,0.7788691815216374,0.8528313324571792,0.8245176778973207,0.8990219191625018,0.7010619426544137
253,amplify_imb + apin + HMD-AMP,0.6031589187050654,0.6149506143944852,0.10276840437806378,253.0,255.02,0.0,0.9218139464142353,0.6787817760484024,0.6656268523862257,0.8988693195217333,0.8421034558294166,0.39023808106838925
254,amPEPpy + amplify_bal + C_AMPs-predict,0.6026965724356618,0.5783594919997959,0.13032212483660144,258.0,303.02,0.0,0.933343889152937,0.740823300671552,0.7729180102793333,0.8515197557403633,0.8957557329472237,0.6443279580031301
